手塚 太郎 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0009015724556419693
宮下 憲 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
2020年度: 帝京大学, 医療技術学部, 教授 )= 0.0009005598824507881
バールィシェフ エドワルド ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0008980817819281325
鍋山 隆弘 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008918091263081032
上野 友之 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.000890340263466987
松本 浩一 ( 2020年度: 筑波大学, 図書館情報メディア系(名誉教授), 名誉教授 )= 0.0008882240780407307
勝田 茂 ( 2020年度: 東亜大学, その他の研究科, 客員教授 )= 0.0008858058167356662
檜澤 伸之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008829527718580342
丸島 愛樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0008779661927696741
谷口 守 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0008708699595717021
嵯峨 寿 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008603980220820517
金谷 麻理子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008514516421203615
坂本 昭裕 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0008488273242200768
赤平 昌文 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0008440483784360503
山田 永子 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0008428775878453547
奥村 敏之 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008397932354868101
尾縣 貢 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0008393584120279476
柳川 徹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008332225463651695
鈴木 佳苗 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0008292487324445088
緒形 ひとみ ( 2020年度: 広島大学, 人間社会科学研究科(総), 准教授 )= 0.0008256275260200978
松田 裕雄 ( 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授 )= 0.0008239765273918871
下條 信威 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0008154216784285791
酒井 俊 ( 2020年度: 筑波技術大学, 保健科学部, 教授 )= 0.0008142022222752463
田林 明 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0008078201958602121
水本 斉志 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008071431617267587
前野 哲博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008060128015596185
繁野 麻衣子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0008011120063959701
高橋 英幸 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.000798728083319065
矢花 一浩 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0007986483830641968
照沼 利之 ( 2020年度: 筑波大学, 医学医療系, 助手 )= 0.000795901132526895
若林 啓 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0007949710207165573
佐藤 哲司 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0007949710207165573
安藤 真太郎 ( 2020年度: 筑波大学, 体育系, 講師 )= 0.0007859674853700524
平山 素子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0007859674853700524
吹田 真士 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0007859674853700524
向後 佑香 ( 2020年度: 筑波技術大学, 障害者高等教育研究支援センター, 助教 )= 0.0007859674853700524
小俣 幸嗣 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0007859674853700524
磯辺 智範 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007814050042723516
新井 哲明 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007764686519748964
安信 誠二 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0007763795171449781
松原 正樹 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0007741641612230195
山本 早里 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0007719852044486156
西嶋 尚彦 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0007524196976993533
河野 一郎 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0007485890462919938
本田 靖 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0007479341544693395
林 誠 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 助教 )= 0.0007463800052823794
金 尚泰 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0007461635364253828
渡辺 俊 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0007459866093429789
鈴木 勉 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0007445525106090297
呉羽 正昭 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0007418878799865958
柳 久子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0007394253791970259
巨瀬 勝美 ( 2020年度: 筑波大学, 数理物質系, 名誉教授 )= 0.0007391764088923136
亀田 能成 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0007388571913525719
相澤 勝治 ( 2020年度: 専修大学, 経営学部, 教授 )= 0.0007382411019900209
若林 誠一郎 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0007364180846664225
高橋 宏 ( nan )= 0.0007314704943361362
谷口 綾子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000709245347448493
原田 悦子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007084192691923579
大根田 修 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007040866333973287
岡出 美則 ( 2020年度: 日本体育大学, スポーツ文化学部, 教授 )= 0.000699036052556797
浅野 美礼 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006963951311616296
山崎 剛 ( 2020年度: 東北大学, 理学研究科, 教授 )= 0.0006914772811019112
田中 文英 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.000689389028389536
池田 潤 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0006876168137290664
筧 知之 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0006827405189241668
井出 政行 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0006794455054196895
福住 昌司 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.0006756817207086189
伏見 卓恭 ( 2020年度: 東京工科大学, コンピュータサイエンス学部, 助教 )= 0.0006751716361529806
沼尻 晴子 (橋井 晴子) ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0006681789132505214
松井 圭介 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0006646103904593356
大槻 麻衣 ( 2020年度: 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 主任研究員 )= 0.0006604981527821293
森田 純 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0006600691000255715
堤 盛人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000658985546390453
矢澤 真人 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0006563951070924633
岩田 洋夫 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0006550414515548706
梶谷 邦彦 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0006544481925926022
