呉羽 正昭 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009153833294165252
竹原 浩太 ( 2020年度: 東京都立大学, 経営学研究科, 准教授 )= 0.0009130721508117109
上保 秀夫 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0009097608344309004
尾縣 貢 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0009024488048738623
中條 達也 ( 2020年度: 筑波大学, 数理物質系, 講師 )= 0.0008999979279792456
末木 啓介 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0008983690549179684
濱田 洋実 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008937568325051969
大高 泉 ( 2020年度: 常磐大学, 人間科学部, 教授 )= 0.0008929922624014246
熊谷 恵子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008909615946362715
松坂 賢 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008906426702184412
山田 重郎 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0008900491966433232
山口 惠里子 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0008886375414052371
北村 豊 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0008864879854792402
武川 寛樹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0008756576005471823
下條 信威 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.000874314785917318
三末 和男 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000874034739038848
関口 智寛 ( 2020年度: 筑波大学, 生命環境系, 講師 )= 0.0008694998929852822
松井 健一 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0008679871504924685
宮崎 修一 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授
2020年度: 公益財団法人国際科学振興財団, その他部局等, 主席研究員 )= 0.0008666169529132666
伊藤 雅英 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.000862951151126219
